NGÀY PICK,TÊN THÙNG,TÊN KHÁCH HÀNG,TÊN HÃNG,S? TRACKING,S? ORDER,S? S?N PH?M,GHI CHÚ 1,GHI CHÚ 2
4/21/2022,LX3,MANTOTA,ADIDAS,15505169147352,,1,,
4/21/2022,LX5,MANTOTA,ASOS,JJD0002230113589124,,SEAL,,
4/21/2022,LX6,MANTOTA,ASOS,T00KMA0261094513,,SEAL,,
4/21/2022,LX6,MANTOTA,ASOS,155022919841502,,SEAL,,
4/21/2022,LX6,MANTOTA,SMIGGLE,H003EA0008086457,,6,KO BILL,
4/21/2022,LX7,MANTOTA,.,1ZY6793V6896829184,,SEAL,,
4/21/2022,LX7,MANTOTA,ZALANDO,T00D4A1512389113,,SEAL,,
4/21/2022,LX1,MEGGIENA,ADIDAS,PBZK2339600001,,2,,
4/21/2022,LX3,MEGGIENA,VITABIOTICS,15504166341078,,SEAL,,
4/21/2022,LX7,MEGGIENA,ADIDAS,PBZK2438580001,,1,,
4/21/2022,AH15,MIKI,.,SH9544979544426315,,SEAL,,
4/21/2022,AH1,MUK,.,KB896860093GB,,1,,THONG HN
4/21/2022,AH1,MUK,.,WD658583672GB,,SEAL,,THONG HN
4/21/2022,AH7,MUK,.,VE012127180GB,,SEAL,,THONG HN
4/21/2022,AH7,MUK,.,B1150284492E,,SEAL,,THONG HN
4/21/2022,AH7,MUK,.,NE043132851GB,,SEAL,,THONG HN
4/21/2022,AH14,MUK,.,NY499853745GB,,1,,THONG HN
4/21/2022,AH14,MUK,.,H01S6A0002058413,,SEAL,,THONG HN
4/21/2022,AH14,MUK,EBAY ,KB897148437GB,,SEAL,,QUAN HN
4/21/2022,AH14,MUK,.,KB897027153GB,,SEAL,,THONG HN
4/21/2022,AH14,MUK,.,F09403F33935,,SEAL,,THONG HN
4/21/2022,AH14,MUK,.,UT138805853NL,,SEAL,,QUAN HN
4/21/2022,AH14,MUK,.,H008EA0009868259,,SEAL,,THONG HN
4/21/2022,AH14,MUK,.,C00HHA0199206429,,SEAL,,THONG HN
4/21/2022,AH14,MUK,.,WD381954745GB,,SEAL,,THONG HN
4/21/2022,AH14,NGOCDINH,.,155041662679657,,7,,
4/21/2022,AH14,NGOCDINH,.,15504166781782,,4,,
4/21/2022,AH14,NGOCNGUYEN,.,H020DA0000737853,,SEAL,,
4/21/2022,AH1,NGUYENCANA,BELKIN,WU960161835GB,,SEAL,,
4/21/2022,AH11,NGUYENCANA,TEDBAKER,T00BIA0013972695,,1,,
4/21/2022,AH11,NGUYENCANA,TEDBAKER,T00BIA0013974916,,2,,
4/21/2022,AH15,NGUYENCANA,TEDBAKER,T00BIA0014115068,,1,,
4/21/2022,LX1,NGUYENCHIBI,NEXT,T002VA0557322943,,SEAL,,
4/21/2022,LX3,NGUYENMANDY,CHIL,15504166238396,,SEAL,,
4/21/2022,AH14,NHANLOGI,.,PBIM4620543001,,SEAL,,
4/21/2022,AH1,NHIPHAM,ASOS,T00B8A0092157977,,SEAL,,
4/21/2022,AH6,NHIPHAM,.,155052273732741,,SEAL,,
4/21/2022,AH7,NHIPHAM,.,15505227375644,,SEAL,,
4/21/2022,AH11,NHIPHAM,.,15504166424654,,SEAL,,
4/21/2022,AH14,NHIPHAM,.,15504166725284,,3,,
4/21/2022,AH14,NHIPHAM,.,15504551092476,,3,,
4/21/2022,AH15,NHIPHAM,.,1597875459843,,SEAL,,
4/21/2022,LX7,NVN,NIKE,15503691419004,,3,3 VO,NGUYEN HANG
4/21/2022,LX7,NVN,NIKE,H01WDA0009311597,,2,2 VO,NGUYEN HANG
4/21/2022,LX7,NVN,NIKE,15503691393194,,1,1 VO,NGUYEN HANG
4/21/2022,LX7,NVN,NIKE,H01WDA0009521136,,1,1 VO,NGUYEN HANG
4/21/2022,LX7,NVN,NIKE,H01WDA0009311674,,2,2 VO,NGUYEN HANG
4/21/2022,LX3,PHAMTHUONG,.,WY270285101GB,,SEAL,,
4/21/2022,AH4,PHUONGNXP,ASOS,JJD0002230113592225,,SEAL,,
4/21/2022,AH1,PHUONGYOZ,GEORGE,T00IKA0024609309,,SEAL,,
4/21/2022,AH1,PHUONGYOZ,GEORGE,T00IKA0024540997,,SEAL,,
4/21/2022,AH2,PHUONGYOZ,GEORGE,T00IKA0024540997,,SEAL,,
4/21/2022,AH2,PHUONGYOZ,GEORGE,JJD0002249601586055,,SEAL,,
4/21/2022,AH3,PHUONGYOZ,GEORGE,JJD0002249601586077,,SEAL,,
4/21/2022,AH3,PHUONGYOZ,GEORGE,JJD0002249601586072,,SEAL,,
4/21/2022,AH3,PHUONGYOZ,GEORGE,JJD0002249599598369,,SEAL,,
4/21/2022,AH7,PHUONGYOZ,GEORGE,T00IKA0024686717,,SEAL,,
4/21/2022,AH7,PHUONGYOZ,GEORGE,T00IKA0024575712,,SEAL,,
4/21/2022,AH14,PHUONGYOZ,GEORGE,15503027028208,,SEAL,,
4/21/2022,LX3,QUYNHHUONG,KARENMILL,MD672434144GB,,SEAL,,
4/21/2022,LX5,QUYNHHUONG,KARENMILL,MD672441437GB,,SEAL,,
4/21/2022,LX5,QUYNHHUONG,M&M,H00JHA0055463989,,SEAL,,
4/21/2022,LX7,QUYNHHUONG,KARENMILL,MD672441321GB,,SEAL,,
4/21/2022,AH1,QUYNHHUONG,ASOS,T00KMA0261049859,,SEAL,,
4/21/2022,AH2,QUYNHHUONG,SPORT,T0047A0097502582,,SEAL,,
4/21/2022,AH3,QUYNHHUONG,ZALANDO,T00D4A1512168038,,8,,
4/21/2022,AH1,SA,AMAZON,QB0184760613,,4,,
4/21/2022,AH11,SA,.,WY256149445GB,,1,,
4/21/2022,AH14,SA,.,H021QA0001581191,,SEAL,,
4/21/2022,AH10,SBC LIENTHUYDUONG,EBAY ,NY864974797GB,,SEAL,,
4/21/2022,AH10,SBC LIENTHUYDUONG,EBAY ,F64C03675B65,,SEAL,,
4/21/2022,AH10,SBC LIENTHUYDUONG,EBAY ,KB151474042GB,,SEAL,,
4/21/2022,AH10,SBC LIENTHUYDUONG,EBAY ,NE018649105GB,,SEAL,,
4/21/2022,AH17,SBC LIENTHUYDUONG,.,0212A121044536D5,,SEAL,,
4/21/2022,AH7,SBC MHNGOCKHOA,.,NV841184115GB,,SEAL,,
4/21/2022,AH17,SBC MHNGOCKHOA,HOZINRON,NV841184141GB,,SEAL,,
4/21/2022,AH17,SBC MHNGOCKHOA,HOZINRON,NV841184138GB,,SEAL,,
4/21/2022,AH17,SBC MHNGOCKHOA,HOZINRON,NV841184155GB,,SEAL,,
4/21/2022,AH17,SBC MHNGOCKHOA,HOZINRON,NV841184124GB,,SEAL,,
4/21/2022,AH17,SBC MHNGOCKHOA,.,JD836287585GB,,SEAL,,
4/21/2022,AH17,SBC MHTHUYTHUONG,.,KB900270912GB,,SEAL,,
4/21/2022,AH7,SBC NGANT30639,AMAZON,QB0184793860,,SEAL,,
4/21/2022,AH17,SBC NGANT30639,AMAZON,QB0187082941,,SEAL,,
4/21/2022,AH17,SBC PHUONGHUYNH,.,1Z7FX669DA77145451,,2,RUOU,
4/21/2022,AH10,SBC PHUONGHUYNHT93752,EBAY ,PBCC9430197001,,2,RUOU,
4/21/2022,AH10,SBC QUYENLOANT16665,LKBENNET,T009LA0000672672,,SEAL,,
4/21/2022,AH10,SBC QUYENLOANT16665,LKBENNET,T009LA0000670248,,SEAL,,
4/21/2022,AH10,SBC QUYENNAMT84888,EBAY ,0509450AF35,,SEAL,,
4/21/2022,AH17,SBC QUYENNAMT84888,.,8XVPH0051427A060,,SEAL,,
4/21/2022,AH17,SBC QUYENNAMT84888,EBAY,050944FD961,,SEAL,,
4/21/2022,AH17,SBC QUYENNAMT84888,EBAY,KB896991142GB,,SEAL,,
4/21/2022,AH17,SBC QUYENTRUNGT51918,.,1Z4788F66892509957,,SEAL,,
4/21/2022,AH10,SBC T03127,.,NY124304327GB,,SEAL,,
4/21/2022,AH7,SBC T44111TRANMINHHUY,.,H0067A0061273846,,SEAL,,
4/21/2022,AH17,SBC T87567,.,KB797183127GB,,SEAL,,
4/21/2022,AH11,TEUMI,ADIDAS,15505169146893,,8,,
4/21/2022,AH1,THANGMAN,ASOS,T00KMA0260252203,,2,,
4/21/2022,AH7,THAONGUYEN,MATALAN,H01KXA0043379804,,SEAL,,
4/21/2022,LX2,THAOTENNIS,.,XJ933155375JF,,SEAL,"4,36E+12",
4/21/2022,LX7,THAOTENNIS,TENNIS,EH420455364GB,,2,,
4/21/2022,LX7,THAOTENNIS,TENNIS,EH420455418GB,,5,,
4/21/2022,LX7,THAOTENNIS,TENNIS,EH419653813GB,,2,,
4/21/2022,AH7,THAOTUMA,MATALAN,T001PA0030031935,,SEAL,,
4/21/2022,AH15,THAOUC,.,1550375056171,,6,,
4/21/2022,AH11,TIEUMI,ADIDAS,15505169146975,,7,,
4/21/2022,AH15,TRANGKEM,SPORT,T0047A0098001327,,SEAL,,
4/21/2022,LX3,TRANHIENLAN,GEORGE,T00IKA0024388525,,SEAL,,
4/21/2022,LX5,TRANHIENLAN,GEORGE,T00IKA0024479364,,SEAL,,
4/21/2022,LX5,TRANHIENLAN,GEORGE,JJD0002247287292256,,SEAL,,
4/21/2022,LX6,TRANHIENLAN,GEORGE,T00IKA0024482284,,SEAL,,
4/21/2022,AH3,TUANHO,GEORGE,JJD0002247287294257,,SEAL,,
4/21/2022,AH7,TUANHO,GEORGE,T00IKA0024623450,,SEAL,,
4/21/2022,AH7,TUONGVAN,PRETTY,TZXXDA0247820366,,SEAL,,
4/21/2022,AH7,TUONGVAN,PRETTY,TZXXDA0247820366,,SEAL,,
4/21/2022,AH11,TUYENTRAN,.,WU988930042GB,,2,,
4/21/2022,AH14,UYENPIE,.,JJD014600009804100751,,56,,
4/21/2022,LX4,VIETVEN,ASOS,15502669324836,,SEAL,,
4/21/2022,LX1,VIETWIND,ADIDAS,15505169145513,,SEAL,,
4/21/2022,LX1,VIETWIND,.,H02MIA0000051574,,1,1 VO,
4/21/2022,LX1,VIETWIND,NIKE,H01WDA0009487029,,1,1 VO,
4/21/2022,LX1,VIETWIND,ADIDAS,155051691456374,,SEAL,,
4/21/2022,LX1,VIETWIND,ADIDAS,15505169145659,,SEAL,,
4/21/2022,LX1,VIETWIND,ADIDAS,15505169146327,,SEAL,,
4/21/2022,LX1,VIETWIND,ADIDAS,15505169145503,,SEAL,,
4/21/2022,LX2,VIETWIND,NIKE,155036914434303,,6,6 VO,
4/21/2022,LX2,VIETWIND,NIKE,15503691444372,,9,9 VO,
4/21/2022,LX4,VIETWIND,ADIDAS,15505169145504,,26,,
4/21/2022,AH15,VIETWIND,ASOS,T00B8A0092871325,,SEAL,,
4/21/2022,AH15,VIETWIND,ASOS,T00B8A0093083488,,SEAL,,
4/21/2022,AH11,VUKHANH,ADIDAS,15505169146168,,3,,
4/21/2022,LX1,ZSHIP,.,WD376286536GB,,SEAL,,
4/21/2022,LX1,ZSHIP,.,583E018CAF71,,SEAL,,
4/21/2022,LX1,ZSHIP,.,583E018CAF32,,SEAL,,
4/21/2022,LX3,ZSHIP,.,C00HHA0197746027,,SEAL,,
4/21/2022,LX6,ZSHIP,.,E65101147573,,SEAL,,
