NGÀY PICK,TÊN THÙNG,TÊN KHÁCH HÀNG,TÊN HÃNG,S? TRACKING,S? ORDER,S? S?N PH?M,GHI CHÚ 1,GHI CHÚ 2
4/21/2022,AH10,AR TBANHTUYET,NEXT,T002VA0561004919,,SEAL,,
4/21/2022,AH4,AR TBHONGNHUNG,ASOS,JJD0002219830747072,,SEAL,,
4/21/2022,AH9,AR TBNPNAM,.,WD722956145GB,,SEAL,,
4/21/2022,AH4,AR TBPHIPHI,.,JJD014600009610274181,,SEAL,,
4/21/2022,AH6,AR TBPHTRAM,TU,JJD0002247866305016,,SEAL,,
4/21/2022,AH10,AR TBTRANTA,.,PBIM5397836001,,SEAL,,
4/21/2022,AH18,AR TBTRANTA,.,41779660007765,,SEAL,,
4/21/2022,AH19,AR TBTRANTA,.,JJD014600009809470517,,1,,
4/21/2022,AH10,AR THIENDANG,.,.,,SEAL,,
4/21/2022,AH10,AR THIENDANG,.,.,,SEAL,,
4/21/2022,AH18,AR THIENDANG,.,.,,SEAL,,
4/21/2022,AH4,AR THNGHOAIPHUONG,GEORGE,JJD0002249599596247,,SEAL,,
4/21/2022,AH4,AR THNGHOAIPHUONG,GEORGE,JJD0002249599596244,,SEAL,,
4/21/2022,AH4,AR THNGHOAIPHUONG,GEORGE,T00IKA0024489048,,SEAL,,
4/21/2022,AH6,AR THNGHOAIPHUONG,GEORGE,JJD0002249599596199,,SEAL,,
4/21/2022,AH15,ATHINH,.,15505682073094,,4,,
4/21/2022,LX5,BAOTRAN,ASOS,T00KMA0263634484,,SEAL,,
4/21/2022,LX5,BAOTRAN,ASOS,T00KMA0263318977,,SEAL,,
4/21/2022,LX7,BAOTRAN,ADIDAS,15505169146969,,1,,
4/21/2022,LX7,BAOTRAN,ASOS,JJD0002230113612264,,SEAL,,
4/21/2022,LX7,BAOTRAN,TENNIS,EH419653138GB,,4,,
4/21/2022,AH11,BATBACHA,.,PBIL5930780001,,1,,
4/21/2022,LX2,BINHBQ,SIZE,PZ108047939GB,,SEAL,,
4/21/2022,LX3,BINHBQ,SIZE,PZ108048355GB,,9,,
4/21/2022,LX3,BINHBQ,SIZE,PZ108044708GB,,7,,
4/21/2022,LX3,BINHBQ,SIZE,PZ108044756GB,,8,,
4/21/2022,LX4,BINHBQ,SIZE,PZ108049492GB,,8,,
4/21/2022,LX4,BONGGOM,GEORGE,JJD0002247287292250,,SEAL,,
4/21/2022,LX5,BONGGOM,GEORGE,T00IKA0024692936,,SEAL,,
4/21/2022,LX5,BONGGOM,GEORGE,T00IKA0024640418,,SEAL,,
4/21/2022,LX5,BONGGOM,GEORGE,JJD0002249601585916,,SEAL,,
4/21/2022,LX6,BONGGOM,GEORGE,T00IKA0024376493,,SEAL,,
4/21/2022,LX7,BONGGOM,GEORGE,T00IKA0024476231,,SEAL,,
4/21/2022,AH1,BONGGOM,HOLLAND,T00PWA0032526493,,9,,
4/21/2022,AH4,BONGGOM,HOLLAND,T00PWA0032526049,,17,,
4/21/2022,AH11,BONGGOM,MATALAN,T001PA0030063261,,SEAL,,
4/21/2022,AH14,BUITRI,.,.,,SEAL,,
4/21/2022,LX1,DAKIMHA,ADIDAS,15505453155476,,1,1 VO,
4/21/2022,LX1,DAKIMHA,ADIDAS,15505453156787,,1,1 VO,
4/21/2022,LX1,DAKIMHA,ADIDAS,15505453154998,,1,,
